,country,fully_vaxed,%_fully_vaxed,covid_cases,gdp_rank,gdp,region,population,covid%
188,Sri Lanka,13741194.0,63.92,560345.0,67.0,89942000000.0,Asia,21497487.484355446,2.606560419713163
190,Suriname,219012.0,37.01,50656.0,157.0,3919000000.0,South America,591764.3880032424,8.560163644001241
191,Sweden,7021519.0,69.11,1196688.0,23.0,576720000000.0,Europe,10159917.522789754,11.778520812946603
192,Switzerland,5676984.0,65.14,978801.0,20.0,740702000000.0,Europe,8715050.660116673,11.231156744496724
193,Syria,732224.0,4.01,47664.0,210.0,0.0,Asia,18259950.124688283,0.26103028581417703
195,Tajikistan,2411511.0,24.73,17493.0,147.0,7838000000.0,Asia,9751358.673675697,0.17939038635942361
196,Tanzania,965778.0,1.57,26261.0,76.0,64888000000.0,Africa,61514522.29299362,0.042690732238671834
197,Thailand,41053644.0,58.69,2094886.0,25.0,547431000000.0001,Asia,69949981.25745443,2.994834254908042
199,Togo,508930.0,6.0,26232.0,149.0,6132000000.0,Africa,8482166.666666668,0.309260605584265
201,Tonga,44058.0,41.27,1.0,184.0,512000000.0,Oceania,106755.51247879816,0.0009367197784738299
202,Trinidad and Tobago,642105.0,45.75,68288.0,111.0,23235000000.0,South America,1403508.1967213114,4.865521994066391
203,Tunisia,5129211.0,42.97,716861.0,98.0,35150000000.0,Africa,11936725.622527346,6.005507897803384
204,Turkey,50409060.0,59.27,8678609.0,18.0,809555000000.0,Asia,85049873.4604353,10.204140990329913
208,Uganda,912983.0,1.94,127337.0,99.0,33620000000.0,Africa,47060979.3814433,0.27057872928630655
209,Ukraine,11143315.0,25.64,3548842.0,57.0,147170000000.0,Europe,43460666.92667706,8.165640913857322
210,United Arab Emirates,8832256.0,88.4,741720.0,30.0,449130000000.0,Asia,9991239.819004524,7.423703298455117
211,United Kingdom,46341057.0,67.94,10076116.0,6.0,2927080000000.0,Europe,68208797.46835443,14.772458061109827
213,Uruguay,2656593.0,76.23,398676.0,80.0,63421000000.0,South America,3484970.484061393,11.439867333836986
215,Vanuatu,40110.0,12.76,6.0,178.0,994000000.0,Oceania,314341.6927899687,0.0019087509349289453
216,Venezuela,9858581.0,34.34,428453.0,75.0,70106000000.0,South America,28708739.079790328,1.492413159662633
217,Vietnam,49685343.0,50.61,1168228.0,45.0,282372000000.0,Asia,98172975.69650267,1.1899690232590323
220,Yemen,353822.0,1.16,9977.0,102.0,31385000000.0,Asia,30501896.55172414,0.03270944147056995
221,Zambia,681134.0,3.6,210112.0,110.0,25272000000.0,Africa,18920388.888888888,1.1105057154686155
222,Zimbabwe,2804465.0,18.58,133774.0,108.0,25812000000.0,Africa,15093998.923573736,0.8862727543399543
